product_name,product_url,product_price,rating,num_reviews,description,asin,manufacturer
Safari Swagpack 35 Ltrs Large Laptop Backpack With 3 Compartments and Raincover - Black (SWAGPACK19CBBLK),https://www.amazon.in/Safari-Swagpack-Backpack-Compartments-Raincover/dp/B09B25QMKY/ref=sr_1_82?crid=2M096C61O4MLT&keywords=bags&qid=1692653898&sprefix=ba%2Caps%2C283&sr=8-82,"1,255",3.7,503,,,
"FATMUG Polyester Foldable Duffle Travel Bag Luggage For Travel, Packing And Storage - Men And Women - (60 L, Black)",https://www.amazon.in/FATMUG-Foldable-Luggage-Packing-Storage/dp/B07YFNXC3H/ref=sr_1_83?crid=2M096C61O4MLT&keywords=bags&qid=1692653898&sprefix=ba%2Caps%2C283&sr=8-83,"1,099",4.2,"1,459",,,
Zipline Unisex casual polyester 36 L Backpack School Bag Women Men Boys Girls children Daypack College Bag Book School Sports Bag Weekend Bag,https://www.amazon.in/ZIPLINE-Polyester-Backpack-Children-Daypack/dp/B07XVMVV77/ref=sr_1_84?crid=2M096C61O4MLT&keywords=bags&qid=1692653898&sprefix=ba%2Caps%2C283&sr=8-84,843,4.0,"6,339",,,
"DIVULGE Multi Utility Drawstring Bag (Black , 16 L)",https://www.amazon.in/DIVULGE-Drawstring-Bag-Sports-Utility/dp/B07PXTDBH4/ref=sr_1_85?crid=2M096C61O4MLT&keywords=bags&qid=1692653898&sprefix=ba%2Caps%2C283&sr=8-85,145,4.0,"1,158",,,
Martucci Large 35 L Backpack Spacy Unisex/College/School/Travel Backpack with Rain Cover and Reflective Strip,https://www.amazon.in/Martucci-Laptop-Backpack-College-Reflective/dp/B0B7DT6HY3/ref=sr_1_86?crid=2M096C61O4MLT&keywords=bags&qid=1692653898&sprefix=ba%2Caps%2C283&sr=8-86,746,4.0,"1,258",,,
F Gear String 11 Ltrs Nylon Black Gym Bag,https://www.amazon.in/F-Gear-String-Polyester-33-cms-Black-Drawstring-Gym-Bag/dp/B07PC28YQ9/ref=sr_1_87?crid=2M096C61O4MLT&keywords=bags&qid=1692653898&sprefix=ba%2Caps%2C283&sr=8-87,190,4.0,591,,,
"Tabelito® NEO 3O L Water Resistant Laptop/College/Office/School/Travel/Business Bag, Unisex Backpack for Men Women Fits Up to 15.6 Inch Laptop Notebook.",https://www.amazon.in/Tabelito-NEO-Backpack-Business-Compartment/dp/B0C2D2GPWJ/ref=sr_1_88?crid=2M096C61O4MLT&keywords=bags&qid=1692653898&sprefix=ba%2Caps%2C283&sr=8-88,399,4.0,190,,,
Gear Galaxy Universe 30 L Water Resistant School Bag/Kids Bag/Casual Backpack/Daypack/College Bag for Boys/Girls/Men/Women (Blue),https://www.amazon.in/Gear-Universe-Resistant-Backpack-Daypack/dp/B0BZWLBDV3/ref=sr_1_89?crid=2M096C61O4MLT&keywords=bags&qid=1692653898&sprefix=ba%2Caps%2C283&sr=8-89,"1,095",3.7,31,,,
ADISA 32 Ltrs Water Resistant Casual Travel Bagpack/College Backpack/School Office Bag for Men and Women,https://www.amazon.in/ADISA-BP010-Weight-Casual-Backpack/dp/B07MXL986B/ref=sr_1_90?crid=2M096C61O4MLT&keywords=bags&qid=1692653898&sprefix=ba%2Caps%2C283&sr=8-90,499,3.9,"4,122",,,
"Fur Jaden 15.6 Inch Laptop Backpack 25 LTR Bag for School, College and Office with USB Charging Port",https://www.amazon.in/Fur-Jaden-Charging-Waterproof-BM36_BlueZip/dp/B07MXM5M99/ref=sr_1_91?crid=2M096C61O4MLT&keywords=bags&qid=1692653898&sprefix=ba%2Caps%2C283&sr=8-91,479,3.9,"10,361",,,
"ROZEN 47 Ltrs, 46 cms School Bag Class 5-12 Large 5 partition Laptop Collage Office Travel Backpack Unisex",https://www.amazon.in/ROZEN-partition-Collage-Backpack-SKYBLUE/dp/B0BRTFGG22/ref=sr_1_92?crid=2M096C61O4MLT&keywords=bags&qid=1692653898&sprefix=ba%2Caps%2C283&sr=8-92,697,4.0,199,,,
"MOKOBARA The Transit Backpack - 30L Premium Nylon 15.6"" Unisex Laptop Bag With Luggage Sleeve",https://www.amazon.in/Mokobara-Transit-Backpack-Laptop-Sunray/dp/B09V7R98XC/ref=sr_1_93?crid=2M096C61O4MLT&keywords=bags&qid=1692653898&sprefix=ba%2Caps%2C283&sr=8-93,"4,999",4.5,652,,,
